PSD_0.0Hz,PSD_25.0Hz,PSD_50.0Hz,Emotion
793.5,1021.666667,228.1666667,Happy
897.9266667,922.7333333,24.80666667,Happy
96.80166667,121.8075,24.80666667,Happy
715.0416667,1201.234167,486.0,Happy
737.0416667,747.9,8.881666667,Happy
890.6016667,1331.926667,442.0416667,Happy
1356.006667,2065.35,708.5066667,Happy
507.84,2056.666667,1548.826667,Happy
1290.666667,4159.573333,2868.906667,Happy
60.80166667,320.1666667,260.0416667,Happy
233.1266667,340.0108333,106.6816667,Happy
42.135,42.87,0.735,Happy
14.10666667,2282.130833,2269.815,Happy
655.215,769.2866667,115.2816667,Happy
28.16666667,507.6708333,480.615,Happy
382.4016667,2065.776667,1683.375,Happy
653.1266667,760.8841667,108.375,Happy
15.36,1225.2,1209.84,Happy
71.415,661.4566667,590.0416667,Happy
25.62666667,272.2566667,248.3266667,Happy
380.8066667,3346.733333,2965.926667,Happy
564.54,650.8566667,83.62666667,Happy
576.24,779.6166667,204.1666667,Happy
57.04166667,531.6866667,473.4816667,Happy
171.735,2384.960833,2211.84,Happy
120.6016667,129.9766667,9.375,Happy
210.0416667,1118.966667,910.2016667,Happy
6.0,501.2433333,496.86,Happy
730.4066667,987.4166667,256.1066667,Happy
648.96,1512.96,864.0,Happy
165.375,1822.056667,1656.681667,Happy
382.4016667,785.8208333,403.44,Happy
0.375,235.9533333,234.375,Happy
238.14,968.5466667,730.4066667,Happy
81.40166667,584.8333333,502.335,Happy
264.0066667,713.1441667,448.935,Happy
506.0016667,963.6741667,457.6266667,Happy
343.5266667,1404.866667,1061.34,Happy
646.8816667,1219.1475,572.3266667,Happy
506.0016667,2660.616667,2154.615,Happy
7.041666667,858.0008333,849.66,Happy
234.375,983.7933333,750.4016667,Happy
278.8016667,426.1933333,147.015,Happy
0.06,1332.12,1332.06,Happy
920.0816667,4816.483333,3896.401667,Happy
126.96,343.2433333,218.4066667,Happy
416.6666667,476.6166667,57.66,Happy
704.1666667,2060.173333,1356.006667,Happy
87.40166667,168.8033333,81.40166667,Happy
1232.666667,4694.4375,3460.801667,Happy
791.2016667,1124.216667,333.015,Happy
8.166666667,583.3108333,574.2816667,Happy
211.2266667,602.0833333,393.66,Happy
162.24,181.7041667,19.80166667,Happy
2.801666667,798.6033333,795.8016667,Happy
32.20166667,106.9875,74.90666667,Happy
15.36,132.7233333,117.9266667,Happy
268.0016667,268.5933333,2.041666667,Happy
311.04,2308.310833,1998.375,Happy
31.28166667,560.2741667,530.16,Happy
706.335,979.71,273.375,Happy
8.881666667,305.4466667,295.4016667,Happy
325.6066667,480.0966667,154.0266667,Happy
308.1666667,1087.083333,779.76,Happy
45.375,54.90083333,9.126666667,Happy
0.281666667,98.31416667,97.60666667,Happy
772.935,1536.806667,763.8816667,Happy
2.406666667,1085.133333,1082.726667,Happy
461.1266667,1126.483333,665.7066667,Happy
1398.426667,3285.253333,1886.826667,Happy
143.0816667,777.5633333,634.4816667,Happy
159.135,325.5741667,166.4266667,Happy
191.535,859.35,667.815,Happy
