Time,POz,Oz,P3,P4,O1,O2
4,1.070555147462633,1.5057874978437358,2.831704081067239,4.4598432423260945,0.3452163658828001,0.4631042005611764
8,0.5367879573177545,4.748912603151298,8.41889150046222,9.805124076440409,5.979238137250973,2.8863827465675214
12,-0.028649421493207032,7.879778013218721,13.821954391679503,14.979518056760451,11.420053124818494,5.218214040177149
16,-0.653845051058761,10.793281489169557,18.869467062978213,19.82324488924515,16.487307205748383,7.37360830344965
20,-1.3604937593090618,13.397594154271895,23.413696785561495,24.197239001864805,21.02473547113553,9.279499271027584
24,-2.1622386716386996,15.61865362133646,27.33880182490918,27.99033145150386,24.90873437087181,10.878666783869075
28,-3.064111354963994,17.40296929518028,30.56587404799341,31.123729985834377,28.05389081811553,12.132040641447707
32,-4.062852118638394,18.718880587210876,33.05489070329963,33.55286785309426,30.415455189308858,13.019502930333095
36,-5.1479876104957825,19.55633094082923,34.803749978622434,35.26675812836542,31.988842021264308,13.539284989324452
40,-6.303592214340643,19.925220262262926,35.844686799675614,36.285115449319456,32.80639735163878,13.706113415989353
44,-7.510487096763309,19.852655621812993,36.23865861110968,36.653812334761305,32.93200451133857,13.548472368370444
48,-8.74842723243482,19.37968061431215,36.06854625344912,36.43945564923311,32.454362443685454,13.105481333473902
52,-9.997882297753545,18.55799284235902,35.431967891553896,35.72373361599945,31.47970963147767,12.423743735313236
56,-11.241313615353661,17.446809559737172,34.43421641668591,34.59782366014057,30.124485476083,11.554243707995406
60,-12.46406798959562,16.109800318609526,33.181626124995766,33.15694926765034,28.508245519887893,10.5492676577658
64,-13.654948046968151,14.61209604603738,31.77571193566091,31.49528442403576,26.747198107634095,9.459480756394875
68,-14.806354501835811,13.017591992135918,30.308493411925816,29.701573189106725,24.948784326764013,8.331439457821437
72,-15.913931337978154,11.386748802058271,28.859245653316556,27.855756041066225,23.207547416043855,7.205731271795207
76,-16.97588187480233,9.774863671682386,27.492577846598078,26.026626635581984,21.60223387075657,6.115711545736519
80,-17.992256413270646,8.2306480350151,26.257554193380592,24.270394124851887,20.19393710049428,5.0867474141220095
